address,time_in,time_out,lp_tokens_deposited
0x0000000000000000000000000000000000000000,1630992830,1630992830,1574999999999993700
0x0000000000000000000000000000000000000000,1630992830,1630992830,449999999999998200
0x0000000000000000000000000000000000000000,1630992830,1630992830,899999999999996400
0x0000000000000000000000000000000000000000,1630992830,1630992830,449999999999998200
0x0000000000000000000000000000000000000000,1630992830,1630992830,337499999999998650
0x0000000000000000000000000000000000000000,1630992830,1630992830,6999999999999999972
0x0000000000000000000000000000000000000000,1630992838,1630992838,1549999999999993800
0x0000000000000000000000000000000000000000,1630992849,1630992849,1599999999999993600
0x0000000000000000000000000000000000000000,1630992849,1630992849,1066666666666662400
0x0000000000000000000000000000000000000000,1630992849,1630992849,533333333333331200
0x0000000000000000000000000000000000000000,1630992878,1630992878,1099999999999995600
0x0000000000000000000000000000000000000000,1630992878,1630992878,549999999999997800
0x0000000000000000000000000000000000000000,1630993044,1630993044,972166666666627780
0x0000000000000000000000000000000000000000,1630993092,1630993092,83333333333333000
0x0000000000000000000000000000000000000000,1630993092,1630993092,124999999999999500
0x0000000000000000000000000000000000000000,1630993092,1630993092,2499999999999990000
0x0000000000000000000000000000000000000000,1630993092,1630993092,8666666666666666632
0x0000000000000000000000000000000000000000,1630993259,1630993259,1999999999999992000
0x0000000000000000000000000000000000000000,1630993259,1630993259,1033333333333329200
0x0000000000000000000000000000000000000000,1630993267,1630993267,1133333333333328800
0x0000000000000000000000000000000000000000,1630993267,1630993267,3874999999999984500
0x0000000000000000000000000000000000000000,1630993320,1630993320,4224999999999983100
0x0000000000000000000000000000000000000000,1630993334,1630993334,14333333333333333276
0x0000000000000000000000000000000000000000,1630993356,1630993356,11999999999999999952
0x0000000000000000000000000000000000000000,1630993356,1630993356,437499999999998250
0x0000000000000000000000000000000000000000,1630993372,1630993372,379166666666665150
0x0000000000000000000000000000000000000000,1630993372,1630993372,566666666666664400
0x0000000000000000000000000000000000000000,1630993372,1630993372,299999999999998800
0x0000000000000000000000000000000000000000,1630993467,1630993467,299999999999998800
0x0000000000000000000000000000000000000000,1630993486,1630993486,14999999999999999940
0x0000000000000000000000000000000000000000,1630993486,1630993486,1266666666666661600
0x0000000000000000000000000000000000000000,1630993486,1630993486,316666666666665400
0x0000000000000000000000000000000000000000,1630993486,1630993486,845833333333329950
0x0000000000000000000000000000000000000000,1630993530,1630993530,12666666666666666616
0x0000000000000000000000000000000000000000,1630993530,1630993530,41333333333333333168
0x0000000000000000000000000000000000000000,1630993550,1630993550,79999999999996800
0x0000000000000000000000000000000000000000,1630993550,1630993550,1833333333333326000
0x0000000000000000000000000000000000000000,1630993550,1630993550,1699999999999993200
0x0000000000000000000000000000000000000000,1630993550,1630993550,2066666666666658400
0x0000000000000000000000000000000000000000,1630993550,1630993550,1931666666666658940
0x0000000000000000000000000000000000000000,1630993550,1630993550,2016666666666658600
0x0000000000000000000000000000000000000000,1630993550,1630993550,2474999999999990100
0x0000000000000000000000000000000000000000,1630993550,1630993550,1099999999999995600
0x0000000000000000000000000000000000000000,1630993550,1630993550,1924999999999992300
0x0000000000000000000000000000000000000000,1630993550,1630993550,1833333333333326000
0x0000000000000000000000000000000000000000,1630993550,1630993550,2016666666666658600
0x0000000000000000000000000000000000000000,1630993550,1630993550,916666666666663000
0x0000000000000000000000000000000000000000,1630993550,1630993550,3666666666666652000
0x0000000000000000000000000000000000000000,1630993550,1630993550,824999999999996700
0x0000000000000000000000000000000000000000,1630993550,1630993550,7562499999999969750
0x0000000000000000000000000000000000000000,1630993550,1630993550,274999999999998900
0x0000000000000000000000000000000000000000,1630993550,1630993550,4124999999999983500
0x0000000000000000000000000000000000000000,1630993550,1630993550,4099999999999983600
0x0000000000000000000000000000000000000000,1630993550,1630993550,2291666666666657500
0x0000000000000000000000000000000000000000,1630993572,1630993572,2799999999999988800
0x0000000000000000000000000000000000000000,1630993572,1630993572,933333333333329600
0x0000000000000000000000000000000000000000,1630993572,1630993572,5599999999999977600
0x0000000000000000000000000000000000000000,1630993572,1630993572,1399999999999994400
0x0000000000000000000000000000000000000000,1630993572,1630993572,5599999999999977600
0x0000000000000000000000000000000000000000,1630993572,1630993572,933333333333329600
0x0000000000000000000000000000000000000000,1630993572,1630993572,5199999999999979200
0x0000000000000000000000000000000000000000,1630993572,1630993572,8499999999999966000
0x0000000000000000000000000000000000000000,1630993572,1630993572,1699999999999993200
0x0000000000000000000000000000000000000000,1630993572,1630993572,3824999999999984700
0x0000000000000000000000000000000000000000,1630993572,1630993572,4166666666666650000
0x0000000000000000000000000000000000000000,1630993572,1630993572,1666666666666660000
0x0000000000000000000000000000000000000000,1630993572,1630993572,1249999999999995000
0x0000000000000000000000000000000000000000,1630993572,1630993572,2420833333333323650
0x0000000000000000000000000000000000000000,1630993572,1630993572,109999999999999560
0x0000000000000000000000000000000000000000,1630993595,1630993595,424999999999998300
0x0000000000000000000000000000000000000000,1630993595,1630993595,2266666666666657600
0x0000000000000000000000000000000000000000,1630993595,1630993595,4958333333333313500
0x0000000000000000000000000000000000000000,1630993595,1630993595,2974999999999988100
0x0000000000000000000000000000000000000000,1630993599,1630993599,1083333333333329000
0x0000000000000000000000000000000000000000,1630993652,1630993652,249999999999990000
0x0000000000000000000000000000000000000000,1630993691,1630993691,68920833333333057650
0x0000000000000000000000000000000000000000,1630993718,1630993718,19392783333332557622
0x0000000000000000000000000000000000000000,1630993813,1630993813,398333333333331740
0x0000000000000000000000000000000000000000,1630993908,1630993908,17799999999999928800
0x0000000000000000000000000000000000000000,1630993908,1630993908,2966666666666654800
0x0000000000000000000000000000000000000000,1630993923,1630993923,17066666666666598400
0x0000000000000000000000000000000000000000,1630994000,1630994000,4333333333333316000
0x0000000000000000000000000000000000000000,1630994040,1630994040,1353177166666612539580
0x0000000000000000000000000000000000000000,1630994096,1630994096,49999999999999999800
0x0000000000000000000000000000000000000000,1630994141,1630994141,59166666666664300
0x0000000000000000000000000000000000000000,1630994179,1630994179,1216666666666618000
0x0000000000000000000000000000000000000000,1630994179,1630994179,366833333333333331866
0x0000000000000000000000000000000000000000,1630994221,1630994221,933333333333329600
0x0000000000000000000000000000000000000000,1630994221,1630994221,20495833333333251350
0x0000000000000000000000000000000000000000,1630994343,1630994343,4821599999999807136
0x0000000000000000000000000000000000000000,1630994390,1630994390,33333333333333333200
0x0000000000000000000000000000000000000000,1630994445,1630994445,66666666666666400
0x0000000000000000000000000000000000000000,1630994524,1630994524,383333333333331800
0x0000000000000000000000000000000000000000,1630994539,1630994539,416666666666665000
0x0000000000000000000000000000000000000000,1630994539,1630994539,1249999999999995000
0x0000000000000000000000000000000000000000,1630994590,1630994590,133011399999994679544
0x0000000000000000000000000000000000000000,1630994590,1630994590,666666666666664000
0x0000000000000000000000000000000000000000,1630994590,1630994590,966666666666662800
0x0000000000000000000000000000000000000000,1630994590,1630994590,966666666666662800
0x0000000000000000000000000000000000000000,1630994692,1630994692,51381666666666461140
0x0000000000000000000000000000000000000000,1630994692,1630994692,7999999999999999968
0x0000000000000000000000000000000000000000,1630994763,1630994763,3566666666666652400
0x0000000000000000000000000000000000000000,1630994839,1630994839,324999999999998700
0x0000000000000000000000000000000000000000,1630994839,1630994839,189999999999999240
0x0000000000000000000000000000000000000000,1630994898,1630994898,194999999999999220
0x0000000000000000000000000000000000000000,1630994933,1630994933,124999999999999500
0x0000000000000000000000000000000000000000,1630994958,1630994958,126666666666666160
0x0000000000000000000000000000000000000000,1630994958,1630994958,126666666666666160
0x0000000000000000000000000000000000000000,1630994958,1630994958,256666666666665640
0x0000000000000000000000000000000000000000,1630994958,1630994958,32808333333333202100
0x0000000000000000000000000000000000000000,1630995080,1630995080,18999999999999999924
0x0000000000000000000000000000000000000000,1630995159,1630995159,13649999999999945400
0x0000000000000000000000000000000000000000,1630995159,1630995159,16916666666666599000
0x0000000000000000000000000000000000000000,1630995159,1630995159,5449999999999978200
0x0000000000000000000000000000000000000000,1630995159,1630995159,37999999999999999848
0x0000000000000000000000000000000000000000,1630995233,1630995233,35599999999999857600
0x0000000000000000000000000000000000000000,1630995236,1630995236,6133333333333308800
0x0000000000000000000000000000000000000000,1630995248,1630995248,559999999999997760
0x0000000000000000000000000000000000000000,1630995250,1630995250,24266666666666569600
0x0000000000000000000000000000000000000000,1630995255,1630995255,4599999999999981600
0x0000000000000000000000000000000000000000,1630995257,1630995257,6199999999999975200
0x0000000000000000000000000000000000000000,1630995257,1630995257,7962499999999968150
0x0000000000000000000000000000000000000000,1630995302,1630995302,10324999999999958700
0x0000000000000000000000000000000000000000,1630995302,1630995302,13649999999999945400
0x0000000000000000000000000000000000000000,1630995366,1630995366,1549999999999993800
0x0000000000000000000000000000000000000000,1630995366,1630995366,9299999999999962800
0x0000000000000000000000000000000000000000,1630995366,1630995366,19199999999999923200
0x0000000000000000000000000000000000000000,1630995413,1630995413,4799999999999980800
0x0000000000000000000000000000000000000000,1630995413,1630995413,3199999999999987200
